日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,159258,南方中证机器人ETF,0.50%,0.10%,1.21,1.1353,≥ 60日均线,,,,,
2026-02-12,510150,招商上证消费80ETF,0.50%,0.10%,0.557,0.5597,< 60日均线,下穿60日均线,-0.0008,0.0018,-0.0051,
2026-02-12,515600,广发央企创新ETF,0.15%,0.05%,1.744,1.6411,≥ 60日均线,,0.0505,0.0411,0.0189,
2026-02-12,159157,天弘中证工业有色金属主题ETF,0.50%,0.10%,,,N/A,,,,,
2026-02-12,159129,嘉实中证细分化工产业主题ETF,0.15%,0.05%,1.207,1.0718,≥ 60日均线,,,,,
2026-02-12,159697,鹏华国证石油天然气ETF,0.50%,0.10%,1.392,1.2166,≥ 60日均线,,0.0758,0.0546,0.0424,
2026-02-12,516820,平安医药及医疗器械创新ETF,0.50%,0.10%,0.366,0.368,< 60日均线,,-0.0031,-0.0009,-0.0044,
2026-02-12,159633,易方达中证1000ETF,0.15%,0.05%,3.503,3.2556,≥ 60日均线,,0.1628,0.1436,0.0384,
2026-02-12,515010,华夏中证全指证券公司ETF,0.15%,0.05%,1.357,1.3806,< 60日均线,,0.001,0.0099,-0.0178,
2026-02-12,159381,华夏创业板人工智能ETF,0.15%,0.05%,2.171,1.9005,≥ 60日均线,,0.2069,0.1888,0.0361,
2026-02-12,159601,华夏MSCI中国A50互联互通ETF,0.50%,0.10%,1.058,1.0592,< 60日均线,下穿60日均线,0.0321,0.0398,-0.0154,
2026-02-12,159875,嘉实中证新能源ETF,0.50%,0.10%,0.731,0.689,≥ 60日均线,,0.0442,0.0467,-0.0051,
2026-02-12,159267,华安国证航天航空行业ETF,0.50%,0.10%,1.24,1.1425,≥ 60日均线,,,,,
2026-02-12,561550,华泰柏瑞中证500增强策略ETF,0.70%,0.10%,1.424,1.3017,≥ 60日均线,,0.0788,0.0705,0.0165,
2026-02-12,159905,工银深证红利ETF,0.50%,0.10%,1.907,1.8365,≥ 60日均线,,0.0419,0.0357,0.0124,
2026-02-12,159731,华夏中证石化产业ETF,0.50%,0.10%,1.042,0.9199,≥ 60日均线,,0.0733,0.0576,0.0314,
2026-02-12,159681,鹏华创业板50ETF,0.15%,0.05%,,,N/A,,,,,
2026-02-12,159215,平安中证A500ETF,0.15%,0.05%,1.326,1.2712,≥ 60日均线,,0.0515,0.0514,0.0002,
2026-02-12,517330,易方达中证长江保护主题ETF,0.15%,0.05%,0.983,0.935,≥ 60日均线,,0.0358,0.0361,-0.0004,
2026-02-12,563080,易方达中证A50ETF,0.15%,0.05%,1.359,1.3435,≥ 60日均线,,0.0288,0.0339,-0.0102,
2026-02-12,159263,易方达国证价值100ETF,0.50%,0.10%,1.191,1.115,≥ 60日均线,,,,,
2026-02-12,517160,南方中证长江保护主题ETF,0.15%,0.05%,0.977,0.9277,≥ 60日均线,,0.0359,0.0354,0.001,
2026-02-12,516860,博时金融科技ETF,0.50%,0.10%,1.443,1.4383,≥ 60日均线,,0.0097,0.015,-0.0106,
2026-02-12,159362,工银中证A500ETF,0.15%,0.05%,1.324,1.2697,≥ 60日均线,,0.0514,0.0506,0.0016,
2026-02-12,515400,富国中证大数据产业ETF,0.50%,0.10%,1.09,0.9906,≥ 60日均线,,0.0326,0.0231,0.019,
2026-02-12,516970,广发中证基建工程ETF,0.50%,0.10%,1.23,1.2,≥ 60日均线,,0.0257,0.0245,0.0024,
2026-02-12,588710,科半导体,0.50%,0.10%,1.821,1.6548,≥ 60日均线,,0.1626,0.1438,0.0375,
2026-02-12,159147,南方中证电池主题ETF,0.15%,0.05%,,,N/A,,,,,
2026-02-12,512630,广发中证卫星产业ETF,0.50%,0.10%,1.551,1.3796,≥ 60日均线,,,,,
2026-02-12,159840,工银瑞信国证新能源车电池ETF,0.45%,0.07%,0.882,0.8514,≥ 60日均线,,0.0475,0.0562,-0.0173,
2026-02-12,516570,易方达中证石化产业ETF,0.15%,0.05%,1.132,0.9946,≥ 60日均线,,0.08,0.0625,0.0349,
2026-02-12,588300,招商中证科创创业50ETF,0.50%,0.10%,0.968,0.9519,≥ 60日均线,,0.0587,0.0678,-0.0183,
2026-02-12,159638,嘉实中证高端装备细分50ETF,0.50%,0.10%,1.125,1.0339,≥ 60日均线,,0.0784,0.0625,0.0319,
2026-02-12,159957,华夏创业板ETF,0.15%,0.05%,2.18,2.1076,≥ 60日均线,,0.1189,0.1315,-0.0251,
2026-02-12,588730,易方达上证科创板人工智能ETF,0.50%,0.10%,1.71,1.5158,≥ 60日均线,,0.0968,0.0832,0.0274,
2026-02-12,159360,天弘中证A500ETF,0.15%,0.05%,1.335,1.2795,≥ 60日均线,,0.0505,0.0497,0.0015,
2026-02-12,588930,银华上证科创板人工智能ETF,0.50%,0.10%,1.808,1.6105,≥ 60日均线,,0.0993,0.0861,0.0263,
2026-02-12,513200,易方达中证港股通医药卫生综合ETF,0.15%,0.05%,1.131,1.1264,≥ 60日均线,,0.0046,0.0166,-0.0239,
2026-02-12,159790,华夏中证内地低碳经济主题ETF,0.50%,0.10%,0.812,0.78,≥ 60日均线,,0.0361,0.0408,-0.0092,
2026-02-12,588830,鹏华上证科创板新能源ETF,0.50%,0.10%,1.709,1.5476,≥ 60日均线,,0.1,0.0888,0.0224,
